Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Senegal,Castors,Rice (imported),Retail,2006,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2006,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2007,01,225,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,02,225,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,03,252.5,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,04,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,05,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,06,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,07,243.75,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,08,225,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,09,245,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,10,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,11,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2007,12,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,01,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,02,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,03,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,04,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,05,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,06,325,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,07,475,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,08,437.5,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,09,475,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,10,475,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,11,450,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2008,12,462.5,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,01,450,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2009,03,400,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2009,05,290,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,06,271.25,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,07,290,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,08,263.75,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,09,268.75,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,10,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,11,250,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2009,12,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2010,01,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2010,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,09,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2010,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2010,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2011,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2011,02,310,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2011,03,310,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2011,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2011,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2011,06,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2011,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2011,08,315,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2011,09,315,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2011,10,315,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2011,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2011,12,325,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,01,325,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,02,325,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,03,325,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,04,317.5,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,05,311,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,06,313.75,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,07,310,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,08,310,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,09,290,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,10,283.3333,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,11,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2012,12,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,01,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,02,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,03,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,04,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,05,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,06,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,07,260,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,08,260,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,09,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,10,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2013,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2013,12,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2014,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2014,02,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2014,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2014,04,260,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2014,05,260,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2014,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2014,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2014,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2014,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2014,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2014,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2014,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2015,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2015,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2015,03,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2015,04,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2015,05,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2015,06,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2015,07,272,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2015,08,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2015,09,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2015,10,275,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2015,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2015,12,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,01,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,02,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,03,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,04,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,05,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,06,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,07,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,08,270,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,09,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,10,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,11,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2016,12,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,01,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,02,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,03,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,04,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,05,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,06,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,07,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,08,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,09,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,10,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,11,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2017,12,300,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2018,01,295,KG,XOF,CSA
Senegal,Castors,Rice (imported),Retail,2018,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2018,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2019,12,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,01,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,02,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,03,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,04,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,05,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,06,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,07,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,08,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,09,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,10,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,11,,KG,XOF,
Senegal,Castors,Rice (imported),Retail,2020,12,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,01,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,02,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,03,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,04,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,05,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,06,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,07,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,08,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,09,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,10,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,11,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2000,12,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,01,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,02,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,03,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,04,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,05,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,06,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,07,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,08,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,09,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,10,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,11,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2001,12,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,01,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,02,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,03,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,04,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,05,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,06,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,07,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,08,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,09,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,10,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,11,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2002,12,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,01,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,02,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,03,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,04,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,05,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,06,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,07,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,08,,KG,XOF,
Senegal,Dakar,Rice (imported),Retail,2003,09,,KG,XOF,
