Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2003","2003","tonnes","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2004","2004","tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2007","2007","tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2008","2008","tonnes","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2009","2009","tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2012","2012","tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","255","Belgium","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","1000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2000","2000","tonnes","1873","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2004","2004","tonnes","16300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","147806","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","133223","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2007","2007","tonnes","70753","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2008","2008","tonnes","84572","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2009","2009","tonnes","83962","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2010","2010","tonnes","114127","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","95453","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2012","2012","tonnes","75829","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","87818","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","50082","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2015","2015","tonnes","63933","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2016","2016","tonnes","100243","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","99015","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2018","2018","tonnes","132437","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","21","Brazil","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","143772","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","27","Bulgaria","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2003","2003","tonnes","1496","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","115","Cambodia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2012","2012","tonnes","480","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","115","Cambodia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","1248","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","115","Cambodia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","1746","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","115","Cambodia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2015","2015","tonnes","48","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","115","Cambodia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2016","2016","tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","115","Cambodia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","700","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","115","Cambodia","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2019","2019","tonnes","564","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","33","Canada","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
