Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2011,12,400,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,1,420,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,2,450,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,3,450,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,4,417,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,5,500,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,6,500,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,7,600,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,8,600,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,9,600,KG,XOF,WFP Guinea- Bissau
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,10,,KG,XOF,
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,11,,KG,XOF,
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2012,12,,KG,XOF,
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,1,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,2,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,3,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,4,600,KG,XOF,GNB WFP CO
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,5,600,KG,XOF,GNB WFP CO
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,6,600,KG,XOF,GNB WFP CO
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,7,500,KG,XOF,GNB WFP CO
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,8,600,KG,XOF,GNB WFP CO
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,9,600,KG,XOF,GNB WFP CO
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,10,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,11,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2013,12,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,1,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,2,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,3,570,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,4,550,KG,XOF,WFP - GW
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,5,600,KG,XOF,WFP - GW
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,6,590,KG,XOF,WFP - GW
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,7,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,8,600,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,9,600,KG,XOF,WFP - GW
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,10,600,KG,XOF,WFP - GW
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,11,600,KG,XOF,WFP - GW
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2014,12,600,KG,XOF,INE
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2015,1,402.3333,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2015,2,381,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2015,3,356.6667,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2015,4,375.6667,KG,XOF,WFP
Guinea-Bissau,Bissau-Bandim,Rice (imported),Retail,2015,5,,KG,XOF,
