Date-Monthly,"Guinea, Retail, Conakry, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Mali, Wholesale, Kayes, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Mali, Wholesale, Bamako, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Mauritania, Retail, Nouakchott, Rice (imported), USD/tonne Commodity Code: 100610_2 "
09-Mar,,715.60,675.80,750.00
09-Feb,,740.60,662.60,790.00
09-Jan,,767.00,666.10,780.00
08-Dec,,726.90,654.20,780.00
08-Nov,,679.30,543.40,970.00
08-Oct,,760.60,730.20,850.00
08-Sep,,777.50,766.50,950.00
08-Aug,,844.30,832.90,950.00
08-Jul,,889.50,877.50,930.00
08-Jun,,782.40,806.10,870.00
08-May,,806.30,711.40,840.00
08-Apr,,816.30,720.30,810.00
08-Mar,,757.30,733.60,800.00
08-Feb,,550.80,629.40,770.00
08-Jan,,549.70,572.10,780.00
07-Dec,,544.50,566.70,770.00
07-Nov,,604.40,582.00,770.00
07-Oct,,531.40,585.60,750.00
07-Sep,,561.30,550.70,740.00
07-Aug,,550.30,529.50,750.00
07-Jul,,554.10,512.30,760.00
07-Jun,,542.10,501.20,750.00
07-May,,545.80,514.90,770.00
07-Apr,,546.00,566.60,750.00
07-Mar,,555.10,534.90,740.00
07-Feb,,538.1,478.3,740
07-Jan,,525.1,505.3,740
06-Dec,,533.8,493.5,730
06-Nov,,520.3,490.9,780
06-Oct,,576.7,490.2,790
06-Sep,,582.1,514.2,790
06-Aug,,585.9,507.8,800
06-Jul,,580.1,531.7,810
06-Jun,,578.5,530.3,820
06-May,,535.3,506.1,790
06-Apr,,514.4,467.6,780
06-Mar,,503.9,458.1,760
06-Feb,,500.5,464.1,820
06-Jan,,507.4,470.5,760
05-Dec,,,,760
05-Nov,,,,710
05-Oct,,,,730
05-Sep,,,,770
05-Aug,,,,750
05-Jul,,,,740
05-Jun,,,,700
05-May,,,,700
05-Apr,,,,710
05-Mar,,,,700
05-Feb,,,,720
05-Jan,,,,730
04-Dec,,,,700
04-Nov,,,,660
04-Oct,,,,
04-Sep,,,,
04-Aug,,,,
04-Jul,,,,
04-Jun,,,,
04-May,,,,
04-Apr,,,,590
04-Mar,,,,580
04-Feb,,,,580
04-Jan,,,,590
03-Dec,,,,630
03-Nov,,,,680
03-Oct,,,,670
