Date-Monthly,"Senegal, Retail, Dakar, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Diourbel, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Kaolack, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Kolda, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Louga, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Matam, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, SaintLouis, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Tambacounda, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Thies, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Zguinchor, Rice (imported), USD/tonne Commodity Code: 100610_2 "
13-Sep,860.00,870.00,860.00,950.00,970.00,920.00,920.00,920.00,920.00,1020.00
13-Aug,960.00,910.00,860.00,860.00,910.00,910.00,910.00,910.00,910.00,1010.00
13-Jul,950.00,900.00,860.00,930.00,900.00,900.00,900.00,900.00,900.00,
13-Jun,890.00,900.00,860.00,920.00,900.00,900.00,900.00,790.00,900.00,
13-May,920.00,890.00,850.00,920.00,890.00,890.00,890.00,890.00,890.00,
13-Apr,940.00,890.00,870.00,920.00,870.00,890.00,910.00,890.00,890.00,
13-Mar,930.00,890.00,850.00,920.00,900.00,890.00,920.00,890.00,890.00,
13-Feb,960.00,920.00,,940.00,920.00,920.00,950.00,920.00,920.00,920.00
13-Jan,920.00,910.00,870.00,880.00,950.00,910.00,920.00,,910.00,810.00
12-Dec,890.00,900.00,850.00,880.00,910.00,900.00,900.00,,900.00,800.00
12-Nov,850.00,880.00,860.00,900.00,980.00,880.00,880.00,880.00,880.00,820.00
12-Oct,850.00,890.00,890.00,920.00,990.00,890.00,890.00,890.00,990.00,890.00
12-Sep,870.00,880.00,900.00,880.00,980.00,880.00,880.00,880.00,980.00,780.00
12-Aug,840.00,840.00,880.00,870.00,950.00,850.00,850.00,850.00,850.00,790.00
12-Jul,830.00,830.00,840.00,870.00,900.00,840.00,840.00,840.00,840.00,
12-Jun,870.00,860.00,900.00,880.00,810.00,860.00,860.00,860.00,860.00,
12-May,880.00,880.00,900.00,900.00,830.00,880.00,880.00,880.00,880.00,
12-Apr,970.00,940.00,1000.00,950.00,,1000.00,920.00,910.00,900.00,
12-Mar,1010.00,990.00,1010.00,870.00,,910.00,1010.00,860.00,1010.00,910.00
12-Feb,900.00,740.00,790.00,800.00,,830.00,1010.00,790.00,1010.00,940.00
12-Jan,810.00,710.00,700.00,750.00,,790.00,840.00,740.00,690.00,790.00
11-Dec,690.00,690.00,720.00,700.00,,700.00,800.00,660.00,700.00,650.00
11-Nov,720.00,710.00,710.00,720.00,,720.00,740.00,680.00,700.00,670.00
11-Oct,720.00,710.00,710.00,730.00,,720.00,750.00,690.00,700.00,680.00
11-Sep,720.00,680.00,610.00,720.00,,710.00,750.00,680.00,690.00,680.00
11-Aug,760.00,750.00,710.00,740.00,,750.00,790.00,680.00,710.00,710.00
11-Jul,870.00,720.00,700.00,740.00,,760.00,780.00,690.00,670.00,710.00
11-Jun,780.00,790.00,720.00,740.00,,770.00,790.00,700.00,730.00,700.00
11-May,860.00,690.00,710.00,730.00,,750.00,790.00,700.00,750.00,710.00
11-Apr,800.00,740.00,720.00,730.00,,760.00,790.00,700.00,720.00,720.00
11-Mar,840.00,720.00,680.00,660.00,910.00,760.00,850.00,670.00,750.00,750.00
11-Feb,830.00,740.00,700.00,700.00,,710.00,720.00,650.00,670.00,690.00
11-Jan,810.00,720.00,700.00,740.00,,710.00,690.00,660.00,640.00,710.00
10-Dec,810.00,710.00,670.00,710.00,,680.00,750.00,650.00,650.00,710.00
10-Nov,830.00,730.00,720.00,730.00,,680.00,830.00,670.00,650.00,730.00
10-Oct,850.00,740.00,740.00,740.00,,730.00,850.00,690.00,660.00,740.00
10-Sep,780.00,600.00,660.00,700.00,,700.00,800.00,640.00,650.00,700.00
10-Aug,790.00,600.00,640.00,690.00,,690.00,790.00,610.00,640.00,690.00
10-Jul,780.00,610.00,640.00,700.00,,680.00,780.00,550.00,620.00,680.00
10-Jun,720.00,590.00,600.00,660.00,,650.00,740.00,500.00,520.00,650.00
10-May,770.00,620.00,620.00,670.00,,630.00,770.00,630.00,570.00,670.00
10-Apr,820.00,680.00,660.00,710.00,,720.00,820.00,670.00,610.00,720.00
