Date-Monthly,"Brazil, Retail, São Paulo, Rice, USD/tonne Commodity Code: 1006_1 ","Thailand, Wholesale, Bangkok, Rice (5% broken), USD/tonne Commodity Code: 100640_1 ","India, Wholesale, Mumbai, Rice, USD/tonne Commodity Code: 1006 "
07-Mar,810.00,296.44,266.90
07-Feb,810.00,294.19,266.10
07-Jan,800.00,292.16,265.00
06-Dec,800.00,285.48,263.20
06-Nov,760.00,277.57,262.00
06-Oct,750.00,281.36,258.40
06-Sep,710.00,291.16,254.80
06-Aug,710.00,294.64,252.50
06-Jul,710.00,297.05,252.90
06-Jun,660.00,294.24,247.00
06-May,690.00,290.98,245.00
06-Apr,710.00,287.26,239.20
06-Mar,700.00,287.16,241.70
06-Feb,700.00,284.23,242.50
06-Jan,650.00,276.91,242.10
05-Dec,640.00,265.06,235.50
05-Nov,650.00,262.96,232.50
05-Oct,630.00,270.54,238.50
05-Sep,630.00,269.96,243.10
05-Aug,620.00,268.61,244.10
05-Jul,620.00,261.00,246.50
05-Jun,640.00,269.73,246.70
05-May,640.00,278.15,236.80
05-Apr,620.00,269.77,228.60
05-Mar,590.00,276.25,228.90
05-Feb,630.00,274.28,228.90
05-Jan,590.00,271.09,228.50
04-Dec,630.00,261.62,227.40
04-Nov,640.00,243.28,221.60
04-Oct,670.00,226.88,218.40
04-Sep,630.00,218.68,213.60
04-Aug,630.00,223.10,195.20
04-Jul,660.00,217.35,203.70
04-Jun,660.00,214.83,206.10
04-May,660.00,214.88,207.30
04-Apr,730.00,223.64,213.50
04-Mar,720.00,221.58,208.40
04-Feb,750.00,210.69,207.20
04-Jan,770.00,199.04,206.40
03-Dec,720.00,184.64,201.90
03-Nov,690.00,179.22,200.60
03-Oct,710.00,181.71,201.10
03-Sep,690.00,182.59,199.10
03-Aug,660.00,179.56,198.80
03-Jul,680.00,185.49,197.50
03-Jun,670.00,191.12,195.40
03-May,650.00,186.34,193.90
03-Apr,550.00,182.73,192.70
03-Mar,480.00,183.01,195.50
03-Feb,470.00,186.19,199.00
03-Jan,490.00,185.87,198.20
02-Dec,470.00,173.38,197.40
02-Nov,430.00,173.56,196.40
02-Oct,340.00,172.18,196.40
02-Sep,370.00,173.03,197.80
02-Aug,370.00,176.82,200.70
02-Jul,390.00,184.11,205.10
02-Jun,410.00,189.71,212.80
02-May,430.00,187.82,219.40
02-Apr,460.00,178.12,219.70
02-Mar,460.00,176.24,220.60
02-Feb,480.00,182.84,220.80
02-Jan,490.00,178.39,222.40
01-Dec,500.00,165.44,224.30
01-Nov,470.00,160.91,224.00
01-Oct,410.00,157.23,223.90
01-Sep,380.00,160.28,225.60
01-Aug,410.00,155.13,228.10
01-Jul,410.00,155.11,228.00
01-Jun,400.00,153.60,228.70
01-May,410.00,148.50,229.10
01-Apr,420.00,147.82,229.80
01-Mar,430.00,159.43,230.60
01-Feb,440.00,170.09,231.10
01-Jan,450.00,169.37,231.00
00-Dec,430.00,169.57,229.90
00-Nov,440.00,169.94,231.90
00-Oct,460.00,172.53,231.90
00-Sep,460.00,162.32,236.40
00-Aug,480.00,170.03,248.30
00-Jul,480.00,170.37,256.80
00-Jun,470.00,176.67,262.90
00-May,480.00,176.60,269.60
00-Apr,510.00,190.95,270.10
00-Mar,520.00,202.57,263.80
00-Feb,550.00,221.17,263.70
00-Jan,520.00,220.84,261.00
