,Kaffrine_ndvi,Kaolack_ndvi,Fatick_ndvi,Kaffrine_precip,Kaolack_precip,Fatick_precip
2000-01-01,,,,,,
2000-02-01,2110.8882318508417,2002.5407640200342,2081.97823585132,,,
2000-03-01,2174.2578555424116,2170.889412151085,2240.903282863849,,,
2000-04-01,2082.7900314253543,2086.4451382456195,2144.282909409608,,,
2000-05-01,2043.4653334323687,1968.8600180788076,2122.810774540573,,,
2000-06-01,2035.0881720772386,1972.9528011894038,2205.3494443287627,0.05614191726210104,0.0789977595597923,0.05274562281628569
2000-07-01,3058.8983152466963,3408.13123512149,3156.7798310550024,0.22609740827440636,0.24218834080294038,0.23156325501890607
2000-08-01,5845.09380139504,5381.89613719338,4584.188616589784,0.26226872402156387,0.35731517639756943,0.36901661591528884
2000-09-01,6251.143374768115,5892.027375189046,5377.492475891602,0.2719069933526884,0.3446408910573695,0.2928369473817976
2000-10-01,4976.593384406166,4777.429030379718,4562.4345968512425,0.16117327063644493,0.15835733357784135,0.1678229175618808
2000-11-01,3302.533710279596,3484.721997170429,3518.341863115078,0.000633572966478849,0.0008279672944789335,0.0003573665658528613
2000-12-01,2974.0763548097493,3125.7060116052126,3166.5994482463725,0.00036707543008979263,0.00024400590010920372,0.00010735432972514933
2001-01-01,2673.3426080639065,2727.2460744437835,2744.799740483854,0.00014496799214422306,0.0001301023788191815,0.000114427034496202
2001-02-01,2332.687549052378,2390.600510127463,2443.7751026239066,0.0003398493216231245,0.0002478934914977248,0.00025154547571358093
2001-03-01,2218.5179985746317,2316.9348176884337,2384.065891668847,0.0003052311909274556,0.00033109206900465334,0.00013522378756565108
2001-04-01,2055.6394067204637,2113.3394788217506,2137.6859478581755,0.00042211608189226163,0.0002534685834440751,0.00024599152881894646
2001-05-01,1982.4058159008414,1994.1764418485675,2150.6813664721476,0.0014637687589782336,0.0006226428080864481,0.0005754288369770875
2001-06-01,2752.359384013571,2681.3331717252395,2549.4084771429716,0.09667346704037898,0.08981309147841414,0.05089927667711841
2001-07-01,4133.161299601021,3946.342560205741,3551.9601414942135,0.24727298572940307,0.2914570102711947,0.2582202223330144
2001-08-01,5818.882923132969,5802.645398975084,5016.75696977093,0.22903656867775646,0.2625667805517228,0.25668863648359863
2001-09-01,6176.484212012284,5787.042946667001,5140.829483631529,0.22854258750731815,0.2403496892021827,0.28451876597317344
2001-10-01,4903.7132868938415,5021.164064210606,4535.415005307979,0.03371657799930192,0.04580071902266042,0.048881844857909765
2001-11-01,3334.6514466803555,3680.113360235969,3586.9776885258116,0.009327015407609827,0.011663692059237528,0.016567714512818278
2001-12-01,2869.0658938501265,3115.4341955825876,3121.681715894127,0.0004362625248073796,0.00038437143063932953,0.0003897979836208299
2002-01-01,2385.6739912911835,2492.269520099811,2643.884455786028,0.027333976410377714,0.034066638991008785,0.047480015940282616
2002-02-01,2043.2952107615029,2127.344563797685,2375.037201831503,0.0007483466004853463,0.0005750254049676118,0.0014492064808547358
2002-03-01,1882.484145954952,2022.0133314741968,2221.5711755230122,0.0004239806537804271,0.0005418632979407112,0.0007162770978864538
2002-04-01,1771.0363969957598,1920.5656335350827,2122.6619341578235,0.00024113699596037383,0.0002395055510849309,0.0001757365134430677
2002-05-01,1744.5381886122464,1797.2221033556082,1978.487024758656,0.0011309341194177538,0.001235212934287579,0.0004018354199560917
2002-06-01,2176.684977195841,2027.4064229763737,2169.1003202789093,0.09276929076272865,0.09172499626427913,0.06733358517969529
2002-07-01,2556.420976644086,2386.260136507715,2457.4965123589054,0.04947375013901685,0.06224153823087683,0.04890378797362497
2002-08-01,4222.9251917718,4058.023308677977,3913.3296885859754,0.2063794559430451,0.25896014454188054,0.2545311427424684
2002-09-01,5187.122796025238,5091.588037542797,4637.949438294403,0.16436597873212716,0.17713032962520062,0.16723328612065752
2002-10-01,4735.220429485718,4848.786312511914,4368.969723668133,0.09817670014362022,0.09910276851751959,0.08122646461890072
2002-11-01,3267.539277623631,3420.9499368280967,3307.4694524347933,0.0005457572003652152,0.0007874798086449833,0.0012568057349239305
2002-12-01,2603.625680694182,2717.4719558824927,2793.6993983997463,0.0017192801103907145,0.0015309586742317748,0.0017180266015343467
2003-01-01,2296.4703092978193,2391.2168582529857,2495.818255251316,0.00015908004807242826,0.0001409565414794826,0.00012349364075071366
2003-02-01,2122.245386910289,2230.280874345699,2272.807550753022,0.000545693088847949,0.000658232575984968,0.000615448024376524
2003-03-01,1932.1174618501182,2077.244076097884,2135.0824107638127,0.00028108407169639467,0.0003251251830785056,0.00013478399276341973
2003-04-01,1838.2719456661496,1985.2680881797232,1999.0217471412088,0.0002219756114535066,0.0002647648031618639,0.00025614654934995264
2003-05-01,1788.9998533955122,1936.6422192057116,2051.013801495071,0.0002555764140365239,0.00030671264052944426,0.00012954869515956273
2003-06-01,1807.5188877511887,1687.8742553578381,1952.8149319145523,0.10918621452934654,0.08981284130583048,0.07165577903389166
2003-07-01,2705.692029496632,2685.6746800178144,3007.004799939413,0.18051365030902453,0.1964613443899531,0.19239667510012887
2003-08-01,5166.7642074847045,4555.754655348427,4155.3152739566085,0.32982342893455274,0.3444226727612246,0.2996834841823865
2003-09-01,5689.174475523527,5388.291061062149,4709.790110679195,0.28872963252800105,0.2598345339408802,0.24643565166238632
2003-10-01,5400.599762941649,5474.002794903474,4753.5375042738315,0.07937344630225852,0.10282223775113865,0.0956992018275195
2003-11-01,3780.5618568181917,3898.876173007854,3824.7635967688357,0.0011298965920022595,0.00145357199862193,0.0008351825308711129
