system:index,Date,FracFlooded,Name,.geo
0_0,1_2002_01_01,5.135739863801373E-4,Kolda,
0_1,1_2002_01_09,0.0013803919450394526,Kolda,
0_2,1_2002_01_17,0.002127231914171122,Kolda,
0_3,1_2002_01_25,0.00296567718895471,Kolda,
0_4,1_2002_02_02,0.0036857220303974396,Kolda,
0_5,1_2002_02_10,0.004582249010764351,Kolda,
0_6,1_2002_02_18,0.005279547773272054,Kolda,
0_7,1_2002_02_26,0.006138251450793067,Kolda,
0_8,1_2002_03_06,0.006873533981952227,Kolda,
0_9,1_2002_03_14,0.007521076203187023,Kolda,
0_10,1_2002_03_22,0.008766041585810352,Kolda,
0_11,1_2002_03_30,0.00934506798057537,Kolda,
0_12,1_2002_04_07,0.010061726809715869,Kolda,
0_13,1_2002_04_15,0.010933621127561216,Kolda,
0_14,1_2002_04_23,0.01126963560873879,Kolda,
0_15,1_2002_05_01,0.012436708597794128,Kolda,
0_16,1_2002_05_09,0.013247177078107297,Kolda,
0_17,1_2002_05_17,0.014139160092151144,Kolda,
0_18,1_2002_05_25,0.014825662282353637,Kolda,
0_19,1_2002_06_02,0.015830525537554724,Kolda,
0_20,1_2002_06_10,0.01616804084550471,Kolda,
0_21,1_2002_06_18,0.017136784993597082,Kolda,
0_22,1_2002_06_26,0.01774991214699786,Kolda,
0_23,1_2002_07_04,0.018462241488714504,Kolda,
0_24,1_2002_07_12,0.019491450410979893,Kolda,
0_25,1_2002_07_20,0.0202216641127213,Kolda,
0_26,1_2002_07_28,0.021216839813965733,Kolda,
0_27,1_2002_08_05,0.021722811562723567,Kolda,
0_28,1_2002_08_13,0.02276929631263478,Kolda,
0_29,1_2002_08_21,0.023699662529339402,Kolda,
0_30,1_2002_08_29,0.024303686450732852,Kolda,
0_31,1_2002_09_06,0.0250573742132248,Kolda,
0_32,1_2002_09_14,0.02584407510555303,Kolda,
0_33,1_2002_09_22,0.027088563750328573,Kolda,
0_34,1_2002_09_30,0.027598330209759752,Kolda,
0_35,1_2002_10_08,0.028489635153882996,Kolda,
0_36,1_2002_10_16,0.028929880122566472,Kolda,
0_37,1_2002_10_24,0.02988423267889855,Kolda,
0_38,1_2002_11_01,0.030780759659264915,Kolda,
0_39,1_2002_11_09,0.0316188472088861,Kolda,
0_40,1_2002_11_17,0.0325738136199992,Kolda,
0_41,1_2002_11_25,0.032896144586767866,Kolda,
0_42,1_2002_12_03,0.03357171827866632,Kolda,
