system:index,Date,Name,precip,.geo
0_7_10,11_01_2007,Kaffrine,0.13422846415267087,
0_7_11,12_01_2007,Kaffrine,0.3875860842577099,
0_8_0,01_01_2008,Kaffrine,0.3615873992523078,
0_8_1,02_01_2008,Kaffrine,0.08270015540738161,
0_8_2,03_01_2008,Kaffrine,0.0,
0_8_3,04_01_2008,Kaffrine,0.0,
0_8_4,05_01_2008,Kaffrine,2.970653452967908,
0_8_5,06_01_2008,Kaffrine,60.71810019149912,
0_8_6,07_01_2008,Kaffrine,171.66031710612558,
0_8_7,08_01_2008,Kaffrine,180.12268501851662,
0_8_8,09_01_2008,Kaffrine,158.58937259994192,
0_8_9,10_01_2008,Kaffrine,39.03168223863866,
0_8_10,11_01_2008,Kaffrine,0.018765343707959344,
0_8_11,12_01_2008,Kaffrine,0.27823830443107345,
0_9_0,01_01_2009,Kaffrine,0.5591843298217578,
0_9_1,02_01_2009,Kaffrine,0.0021511039793549506,
0_9_2,03_01_2009,Kaffrine,4.6309356425182867E-4,
0_9_3,04_01_2009,Kaffrine,2.2933921397500715E-4,
0_9_4,05_01_2009,Kaffrine,5.009217099614014E-4,
0_9_5,06_01_2009,Kaffrine,49.1002907818347,
0_9_6,07_01_2009,Kaffrine,150.0782481536779,
0_9_7,08_01_2009,Kaffrine,210.0852236976916,
0_9_8,09_01_2009,Kaffrine,178.13985213668195,
0_9_9,10_01_2009,Kaffrine,18.891842231150658,
0_9_10,11_01_2009,Kaffrine,1.1119849928811034,
0_9_11,12_01_2009,Kaffrine,1.1142128059337613,
0_10_0,01_01_2010,Kaffrine,0.5945319201857405,
0_10_1,02_01_2010,Kaffrine,0.09998205011048941,
0_10_2,03_01_2010,Kaffrine,2.9070777640546174E-6,
0_10_3,04_01_2010,Kaffrine,0.0068518251033058775,
0_10_4,05_01_2010,Kaffrine,0.7306052779548359,
0_10_5,06_01_2010,Kaffrine,66.11353347880053,
0_10_6,07_01_2010,Kaffrine,136.9666480376942,
0_10_7,08_01_2010,Kaffrine,148.28974032532213,
0_10_8,09_01_2010,Kaffrine,224.4347358264523,
0_10_9,10_01_2010,Kaffrine,33.25475638628211,
0_10_10,11_01_2010,Kaffrine,0.16149476309432595,
0_10_11,12_01_2010,Kaffrine,0.8845292513539099,
0_11_0,01_01_2011,Kaffrine,0.3701234324937305,
0_11_1,02_01_2011,Kaffrine,0.08084488960199061,
0_11_2,03_01_2011,Kaffrine,2.503588112197061E-7,
0_11_3,04_01_2011,Kaffrine,0.003944547553268501,
0_11_4,05_01_2011,Kaffrine,3.5673304261187456E-4,
0_11_5,06_01_2011,Kaffrine,36.84905886030395,
0_11_6,07_01_2011,Kaffrine,75.14073452194306,
0_11_7,08_01_2011,Kaffrine,185.06631986318274,
0_11_8,09_01_2011,Kaffrine,111.5668981463948,
0_11_9,10_01_2011,Kaffrine,27.956939009445186,
0_11_10,11_01_2011,Kaffrine,0.8975035123839918,
0_11_11,12_01_2011,Kaffrine,0.7998841406563099,
0_12_0,01_01_2012,Kaffrine,0.4384484337569679,
0_12_1,02_01_2012,Kaffrine,0.20927065735847922,
0_12_2,03_01_2012,Kaffrine,0.002052799741864973,
0_12_3,04_01_2012,Kaffrine,0.029600547753186063,
0_12_4,05_01_2012,Kaffrine,1.3093104253453889,
0_12_5,06_01_2012,Kaffrine,43.22370807078115,
0_12_6,07_01_2012,Kaffrine,150.68759183493515,
0_12_7,08_01_2012,Kaffrine,173.35496886404135,
0_12_8,09_01_2012,Kaffrine,170.30643068801342,
0_12_9,10_01_2012,Kaffrine,34.96250815175146,
0_12_10,11_01_2012,Kaffrine,0.5131891288595253,
0_12_11,12_01_2012,Kaffrine,0.8721801827653166,
0_13_0,01_01_2013,Kaffrine,0.6730119629522455,
0_13_1,02_01_2013,Kaffrine,0.10444479529855102,
0_13_2,03_01_2013,Kaffrine,0.0019099567379250576,
0_13_3,04_01_2013,Kaffrine,4.182574259435245E-4,
0_13_4,05_01_2013,Kaffrine,1.7689656912419551,
0_13_5,06_01_2013,Kaffrine,38.943034741812994,
0_13_6,07_01_2013,Kaffrine,87.75466546411485,
0_13_7,08_01_2013,Kaffrine,191.27048148170715,
0_13_8,09_01_2013,Kaffrine,133.14686638512654,
0_13_9,10_01_2013,Kaffrine,43.209289644764354,
0_13_10,11_01_2013,Kaffrine,0.619157018808653,
0_13_11,12_01_2013,Kaffrine,0.5193590242176342,
0_14_0,01_01_2014,Kaffrine,0.23330071321089974,
0_14_1,02_01_2014,Kaffrine,0.03904396228174192,
0_14_2,03_01_2014,Kaffrine,0.0017307824441092935,
0_14_3,04_01_2014,Kaffrine,0.0,
0_14_4,05_01_2014,Kaffrine,0.9595561026168303,
0_14_5,06_01_2014,Kaffrine,25.851838895726427,
0_14_6,07_01_2014,Kaffrine,68.58178879580711,
0_14_7,08_01_2014,Kaffrine,164.1316931448551,
0_14_8,09_01_2014,Kaffrine,99.84840903117328,
0_14_9,10_01_2014,Kaffrine,53.212448453727035,
0_14_10,11_01_2014,Kaffrine,0.2624381271181228,
0_14_11,12_01_2014,Kaffrine,0.8475132897906086,
0_15_0,01_01_2015,Kaffrine,0.7726211164024323,
0_15_1,02_01_2015,Kaffrine,0.018471818292197077,
0_15_2,03_01_2015,Kaffrine,9.022430791122783E-4,
0_15_3,04_01_2015,Kaffrine,0.030069017264220597,
0_15_4,05_01_2015,Kaffrine,0.2840442884781024,
